	score	num
ACIN1	962	10
ACLY	951	76
ACMSD	518	10
ACN9	298	2
ACO1	653	52
ACO2	943	52
ACOT1	446	26
ACOT11	208	6
ACOT12	249	6
ACOT13	311	6
ACOT2	905	12
ACOT4	905	10
ACOT6	153	2
ACOT7	620	14
ACOT8	902	12
ACOT9	261	6
ACOX1	953	62
ACOX2	901	36
ACOX3	902	24
ACOXL	336	16
ACP1	448	28
ACP2	480	18
ACP5	583	80
ACP6	158	4
ACPP	902	30
ACPT	529	6
ACR	312	22
ACRBP	152	2
ACRC	173	2
ACRV1	217	8
ACSBG1	809	30
ACSBG2	805	16
ACSF2	560	16
ACSF3	230	14
ACSL1	883	60
ACSL3	838	44
ACSL4	847	46
ACSL5	831	40
ACSL6	804	48
ACSM1	268	20
ACSM2A	351	18
ACSM2B	261	16
ACSM3	585	20
ACSM4	276	16
ACSM5	299	22
ACSM6	206	14
ACSS1	851	30
ACSS2	929	38
ACSS3	310	20
ACTA1	941	96
ACTA2	663	90
ACTB	953	190
ACTBL2	256	22
ACTC1	619	68
ACTG1	912	152
ACTG2	535	50
ACTL6A	955	54
ACTL6B	603	48
ACTL7A	248	16
ACTL7B	218	16
ACTL8	226	16
ACTN1	936	44
ACTN2	914	60
ACTN3	660	46
ACTN4	923	56
ACTR10	900	32
ACTR1A	900	32
ACTR1B	900	26
ACTR2	956	54
ACTR3	923	38
ACTR3B	290	24
ACTR3C	280	22
ACTR5	237	6
ACTR6	243	2
ACTR8	295	12
ACVR1	386	36
ACVR1B	424	48
ACVR1C	318	24
ACVR2A	402	44
ACVR2B	537	36
ACVRL1	620	38
ACY1	947	18
ACY3	173	2
ACYP1	305	4
ACYP2	178	4
ADA	497	72
ADAD1	296	6
ADAL	358	10
ADAM11	483	18
ADAM12	373	56
ADAM15	563	22
ADAM17	979	114
ADAM18	268	2
ADAM19	453	30
ADAM2	496	18
ADAM20	345	10
ADAM21	363	12
ADAM22	617	22
ADAM23	504	18
ADAM28	599	30
ADAM29	273	12
ADAM30	441	14
ADAM32	194	6
ADAM33	611	34
ADAM7	352	6
ADAM8	929	50
ADAM9	711	68
ADAMDEC1	298	22
ADAMTS1	907	50
ADAMTS10	913	10
ADAMTS12	916	18
ADAMTS13	920	28
ADAMTS14	917	12
ADAMTS15	907	12
ADAMTS16	916	10
ADAMTS17	916	10
ADAMTS18	914	10
ADAMTS19	915	6
ADAMTS2	917	20
ADAMTS20	910	24
ADAMTS3	915	36
ADAMTS5	910	42
ADAMTS6	914	12
ADAMTS7	916	16
ADAMTS8	906	16
ADAMTS9	910	38
ADAMTSL1	918	10
ADAMTSL2	922	4
ADAMTSL3	917	8
ADAMTSL4	918	8
ADAMTSL5	910	4
ADAP1	315	10
ADAP2	597	16
ADAR	411	36
ADARB1	240	6
ADARB2	432	10
ADAT1	413	6
ADAT2	559	14
ADAT3	219	12
ADCK1	204	2
ADCK2	249	4
ADCK4	446	2
ADCY1	911	40
ADCY10	552	60
ADCY2	915	44
ADCY3	929	44
ADCY4	907	28
ADCY5	918	54
ADCY6	911	34
ADCY7	908	32
ADCY8	925	48
ADCY9	912	22
ADCYAP1	978	64
ADCYAP1R1	955	28
ADD1	937	32
ADD2	326	14
ADD3	338	14
ADGB	670	60
ADH1A	668	18
ADH1B	707	18
ADH4	665	12
ADH5	704	40
ADH6	698	16
ADH7	665	10
ADHFE1	377	18
ADI1	424	26
ADIG	540	8
ADIPOQ	994	124
ADIPOR1	682	68
ADIPOR2	736	56
ADK	478	36
ADM	927	54
ADM2	910	14
ADNP	416	20
ADNP2	406	4
ADO	314	18
ADORA1	934	66
ADORA2A	700	76
ADORA2B	914	52
ADORA3	925	66
ADPGK	301	14
ADPRH	287	6
ADPRM	227	12
ADRA1A	909	58
ADRA1B	920	62
ADRA1D	911	62
ADRA2A	965	62
ADRA2B	965	60
ADRA2C	966	62
ADRB1	949	70
ADRB2	949	142
ADRB3	949	72
ADRBK1	910	56
ADRBK2	696	14
ADRM1	935	8
ADSL	800	20
ADSS	900	16
ADSSL1	297	20
AEBP1	236	10
AEBP2	185	4
AEN	281	10
AES	305	12
AFAP1	387	14
AFAP1L2	353	4
AFF1	420	16
AFF2	259	6
AFF3	499	14
AFF4	245	4
AFG3L2	552	30
AFM	412	20
AFMID	804	14
AFP	966	104
AFTPH	370	2
AGA	905	26
AGAP1	157	4
AGAP2	473	10
AGAP3	189	4
AGAP4	150	2
AGAP5	150	2
AGAP6	150	2
AGBL1	259	2
AGBL2	669	14
AGBL3	343	16
AGBL4	270	2
AGER	954	126
AGFG1	919	62
AGFG2	335	10
AGGF1	382	10
AGK	329	16
AGL	389	20
AGMAT	508	26
AGMO	789	28
AGPAT1	673	36
AGPAT2	905	54
AGPAT3	677	20
AGPAT4	690	10
AGPAT5	650	14
AGPAT6	390	18
AGPS	311	26
AGR2	497	28
AGR3	430	10
AGRN	933	88
AGRP	929	50
AGT	996	118
AGTPBP1	179	4
AGTR1	928	102
AGTR2	926	60
AGTRAP	618	16
AGXT	900	44
AGXT2	441	22
AHCTF1	177	4
AHCY	836	20
AHCYL1	574	20
AHCYL2	630	14
AHI1	284	18
AHNAK	529	20
AHR	888	78
AHRR	498	8
AHSA1	400	12
AHSA2	247	6
AHSG	985	68
AHSP	252	6
AICDA	662	34
AIDA	499	6
AIF1	745	126
AIFM1	920	76
AIFM2	330	22
AIFM3	298	14
AIM2	688	24
AIMP1	367	36
AIMP2	322	12
AIP	325	8
AIPL1	188	6
AIRE	739	46
AJAP1	369	14
AJUBA	902	14
AK1	555	28
AK2	458	30
AK3	463	22
AK4	378	22
AK5	293	18
AK7	366	12
AK8	483	14
AKAP1	915	18
AKAP10	525	10
AKAP11	514	14
AKAP12	632	16
AKAP13	450	16
AKAP14	154	4
AKAP17A	414	30
AKAP3	477	10
AKAP4	546	8
AKAP5	282	6
AKAP6	226	10
AKAP8	959	6
AKAP9	581	26
AKIRIN2	699	10
AKNA	169	2
AKR1A1	920	12
AKR1B1	578	92
AKR1B10	527	44
AKR1B15	344	12
AKR1C1	400	20
AKR1C2	320	22
AKR1C3	952	36
AKR1C4	267	14
AKR1D1	920	24
AKR1E2	208	6
AKR7A2	215	6
AKR7A3	215	8
AKT1	999	226
AKT1S1	806	30
AKT2	968	90
AKT3	999	70
AKTIP	492	18
ALAD	582	34
ALAS1	489	22
ALAS2	453	24
ALB	986	212
ALCAM	542	46
ALDH16A1	270	20
ALDH18A1	753	46
ALDH1A1	705	62
ALDH1A2	467	56
ALDH1A3	908	34
ALDH1B1	922	32
ALDH1L1	540	32
ALDH1L2	614	20
ALDH2	934	86
ALDH3A1	912	42
ALDH3A2	925	36
ALDH3B2	924	26
ALDH4A1	654	30
ALDH5A1	818	26
ALDH6A1	276	16
ALDH7A1	733	68
ALDH8A1	320	22
ALDH9A1	704	30
ALDOA	995	50
ALDOB	970	28
ALDOC	972	28
ALG1	213	18
ALG10	174	2
ALG10B	187	4
ALG11	404	26
ALG12	243	6
ALG13	418	12
ALG14	392	4
ALG1L	185	12
ALG2	391	30
ALG3	386	12
ALG6	191	4
ALG8	231	4
ALK	576	82
ALKBH3	406	2
ALKBH5	171	6
ALKBH8	280	18
ALLC	377	28
ALMS1	226	12
ALOX12	542	38
ALOX12B	303	4
ALOX15	653	54
ALOX15B	903	20
ALOX5	658	88
ALOX5AP	526	58
ALOXE3	309	6
ALPI	622	52
ALPK1	590	10
ALPK3	754	28
ALPL	800	80
ALPP	570	52
ALPPL2	646	48
ALS2	647	52
ALS2CL	366	4
ALX1	179	6
ALX3	512	16
ALX4	283	22
ALYREF	293	16
AMACR	902	18
AMBN	901	22
AMBP	820	56
AMBRA1	469	16
AMD1	345	28
AMDHD1	208	8
AMDHD2	163	2
AMELX	906	26
AMER1	908	10
AMER2	298	18
AMER3	160	6
AMFR	475	46
AMH	825	42
AMHR2	586	26
AMICA1	374	4
AMIGO1	243	6
AMIGO2	219	10
AMMECR1	323	8
AMN	375	18
AMOT	309	14
AMOTL1	327	6
AMOTL2	311	18
AMPD1	412	18
AMPD2	282	10
AMPD3	225	16
AMPH	970	64
AMT	965	18
AMTN	900	14
AMY1A	277	14
AMY1B	277	12
AMY2A	277	26
AMY2B	277	22
AMZ2	484	4
ANAPC1	900	12
ANAPC10	900	12
ANAPC11	900	6
ANAPC13	192	2
ANAPC15	900	4
ANAPC16	900	4
ANAPC2	900	10
ANAPC4	900	6
ANAPC5	903	6
ANAPC7	900	2
ANG	732	56
ANGEL2	206	4
ANGPT1	863	66
ANGPT2	952	76
ANGPT4	616	16
ANGPTL1	533	20
ANGPTL2	620	34
ANGPTL3	981	48
ANGPTL4	987	72
ANGPTL6	556	28
ANGPTL7	540	20
ANHX	175	4
ANK1	345	66
ANK2	452	66
ANK3	599	74
ANKDD1A	260	26
ANKFY1	266	28
ANKH	457	12
ANKHD1	365	30
ANKIB1	315	6
ANKK1	585	40
ANKLE1	260	24
ANKLE2	260	4
ANKMY1	297	2
ANKMY2	260	22
ANKRA2	404	22
ANKRD1	371	44
ANKRD10	314	20
ANKRD11	284	4
ANKRD13C	261	2
ANKRD17	266	34
ANKRD2	266	28
ANKRD23	266	18
ANKRD26	319	24
ANKRD27	260	22
ANKRD28	266	22
ANKRD30A	282	20
ANKRD30B	266	16
ANKRD32	551	30
ANKRD36C	347	22
ANKRD39	376	18
ANKRD40	219	2
ANKRD45	316	22
ANKRD49	260	24
ANKRD50	266	26
ANKRD53	260	24
ANKRD54	266	22
ANKRD6	580	26
ANKRD7	266	24
ANKRD9	266	24
ANKS1A	260	26
ANKS1B	766	44
ANKS4B	266	18
ANKZF1	540	6
ANLN	729	12
ANO1	398	18
ANO2	403	6
ANO3	225	6
ANO4	308	10
ANO5	469	4
ANO6	904	14
ANO7	213	2
ANO8	904	12
ANP32A	942	16
ANP32B	310	12
ANP32D	175	6
ANP32E	201	4
ANPEP	922	90
ANTXR1	344	20
ANTXR2	237	8
ANXA1	923	82
ANXA11	491	30
ANXA13	358	16
ANXA2	916	80
ANXA3	431	32
ANXA4	400	30
ANXA5	923	128
ANXA6	459	48
ANXA7	491	48
ANXA8	414	20
ANXA9	458	22
AOAH	626	32
AOC2	948	10
AOC3	943	28
AOX1	935	50
AP1AR	546	10
AP1B1	921	30
AP1G1	983	42
AP1G2	944	18
AP1M1	945	28
AP1M2	933	20
AP1S1	939	16
AP1S2	903	26
AP1S3	902	8
AP2A1	984	42
AP2A2	964	62
AP2B1	972	36
AP2M1	976	30
AP2S1	925	24
AP3B1	909	30
AP3B2	350	24
AP3D1	373	10
AP3M1	360	4
AP3M2	360	2
AP3S1	902	8
AP3S2	297	4
AP4B1	920	16
AP4E1	974	20
AP4M1	916	10
AP4S1	907	4
AP5B1	685	32
AP5M1	501	18
AP5S1	269	4
AP5Z1	364	6
APAF1	998	78
APBA1	993	52
APBA2	969	62
APBA3	880	24
APBB1	999	132
APBB1IP	483	24
APBB3	681	14
APC	986	64
APC2	922	38
APCDD1	252	4
APCS	931	62
APEH	644	50
APEX1	703	56
APEX2	382	14
APH1A	999	74
API5	385	18
APIP	368	14
APITD1	284	6
APLF	293	4
APLN	931	40
APLNR	919	56
APLP1	963	100
APLP2	978	86
APMAP	326	20
APOA1	998	130
APOA1BP	902	10
APOA2	988	66
APOA4	975	96
APOA5	982	62
APOB	996	138
APOBEC1	483	24
APOBEC2	194	2
APOBEC3A	271	8
APOBEC3B	413	10
APOBEC3C	266	4
APOBEC3D	219	4
APOBEC3F	334	6
APOBEC3G	461	40
APOBEC3H	194	2
APOBEC4	156	2
APOBR	900	56
APOC3	993	86
APOD	687	76
APOF	817	36
APOH	879	80
APOL1	949	58
APOL2	329	22
APOL3	311	16
APOL4	266	20
APOL5	216	12
APOL6	250	10
APOLD1	397	4
APOM	942	56
APOO	691	34
APOOL	904	22
APOPT1	398	10
APPBP2	600	24
APPL1	929	128
APPL2	443	22
APRT	529	32
APTX	271	6
AQP1	540	74
AQP10	272	10
AQP11	190	4
AQP2	402	26
AQP3	634	44
AQP4	697	92
AQP5	470	30
AQP6	200	4
AQP8	261	14
AQP9	547	50
AQPEP	692	34
AQR	261	6
AR	967	160
ARAF	473	42
ARAP1	524	20
