	score	num
EIF3CL	298	10
EIF3D	541	16
EIF3E	423	18
EIF3F	679	24
EIF3G	421	16
EIF3H	324	16
EIF3I	474	22
EIF3J	516	12
EIF3K	430	14
EIF3L	389	14
EIF3M	402	18
EIF4A1	923	32
EIF4A2	499	26
EIF4A3	345	16
EIF4B	492	28
EIF4E	946	62
EIF4E1B	233	14
EIF4E2	398	14
EIF4E3	186	4
EIF4EBP1	666	64
EIF4EBP2	315	24
EIF4EBP3	250	6
EIF4ENIF1	188	4
EIF4G1	936	68
EIF4G2	943	32
EIF4G3	919	26
EIF4H	347	10
EIF5	416	18
EIF5A	546	20
EIF5A2	415	12
EIF5AL1	349	18
EIF5B	810	40
EIF6	367	6
ELAC1	210	8
ELAC2	403	10
ELANE	995	110
ELAVL1	802	66
ELAVL2	499	48
ELAVL3	598	56
ELAVL4	605	56
ELF1	560	10
ELF2	489	8
ELF3	938	26
ELF4	305	16
ELF5	444	14
ELFN1	237	2
ELFN2	403	4
ELK1	379	6
ELK3	222	6
ELK4	465	14
ELL	500	12
ELL2	224	8
ELL3	400	4
ELMO1	404	36
ELMO2	323	22
ELMO3	321	12
ELMOD1	276	6
ELMOD2	237	6
ELMSAN1	331	8
ELN	714	82
ELOF1	406	2
ELOVL1	308	24
ELOVL2	523	42
ELOVL3	653	28
ELOVL4	259	20
ELOVL5	388	26
ELOVL6	445	36
ELOVL7	373	10
ELP2	360	4
ELP3	687	16
ELP4	416	8
ELP6	740	10
ELSPBP1	900	8
ELTD1	214	18
EMB	299	26
EMC2	173	2
EMC3	225	2
EMC6	269	4
EMC7	199	4
EMD	473	18
EME1	382	6
EMG1	290	14
EMILIN1	216	6
EMILIN2	233	6
EML1	426	6
EML2	410	12
EML4	494	32
EML5	277	12
EMP1	300	20
EMP2	477	14
EMP3	294	2
EMR1	692	44
EMR2	308	20
EMR3	231	12
EMX1	521	24
EMX2	703	24
EN1	403	44
EN2	417	36
ENAH	517	34
ENAM	919	28
ENC1	539	8
ENDOD1	426	4
ENDOG	719	32
ENDOV	221	4
ENG	858	78
ENGASE	588	20
ENHO	293	18
ENO1	995	90
ENO2	939	112
ENO3	940	40
ENO4	936	22
ENOPH1	424	10
ENOSF1	631	12
ENOX2	212	4
ENPEP	638	56
ENPP1	532	40
ENPP2	673	40
ENPP3	569	24
ENPP4	371	10
ENPP5	344	10
ENPP6	285	4
ENPP7	198	6
ENSA	167	2
ENTPD1	677	52
ENTPD2	530	16
ENTPD3	607	16
ENTPD4	193	4
ENTPD5	527	12
ENTPD6	561	6
ENTPD8	331	16
EOGT	382	4
EOMES	593	54
EP300	990	148
EP400	940	26
EPAS1	980	74
EPB41	766	34
EPB41L1	567	16
EPB41L2	590	14
EPB41L3	905	16
EPB41L4A	251	8
EPB41L4B	392	8
EPB41L5	380	10
EPB42	222	4
EPC1	964	30
EPC2	880	46
EPCAM	623	70
EPDR1	431	14
EPGN	577	16
EPHA10	912	26
EPHA2	986	64
EPHA3	965	62
EPHA4	933	62
EPHA5	924	54
EPHA6	912	40
EPHA7	924	46
EPHA8	913	34
EPHB1	912	64
EPHB2	930	100
EPHB3	923	48
EPHB4	916	52
EPHB6	913	36
EPHX1	437	64
EPHX2	923	90
EPHX3	348	4
EPM2A	686	26
EPM2AIP1	254	8
EPN1	954	30
EPN2	946	24
EPO	918	110
EPOR	768	62
EPPIN	581	18
EPPK1	512	10
EPRS	969	60
EPS15	989	54
EPS15L1	958	22
EPS8	619	20
EPS8L1	189	4
EPS8L2	189	8
EPS8L3	291	4
EPX	445	26
EPYC	262	10
EQTN	647	4
ERAL1	356	20
ERAP1	536	56
ERAP2	471	40
ERAS	403	36
ERBB2	972	150
ERBB2IP	254	18
ERBB3	826	92
ERBB4	966	104
ERC1	296	40
ERCC1	539	42
ERCC2	553	20
ERCC3	368	14
ERCC4	511	12
ERCC5	468	26
ERCC6	348	56
ERCC6L	544	18
ERCC6L2	217	14
EREG	732	42
ERF	231	8
ERG	244	14
ERGIC1	223	6
ERGIC2	223	8
ERGIC3	223	10
ERH	313	14
ERI1	389	8
ERI2	436	2
ERI3	793	6
ERLEC1	357	28
ERLIN1	202	10
ERLIN2	503	10
ERMN	441	18
ERMP1	223	6
ERN1	905	76
ERN2	295	32
ERO1L	519	28
ERO1LB	263	14
ERP29	202	12
ERP44	907	24
ERRFI1	229	8
ERV3-1	187	4
ERVFRD-1	313	10
ERVW-1	670	68
ESAM	452	24
ESCO1	443	12
ESCO2	738	12
ESD	538	28
ESF1	169	2
ESM1	720	22
ESPL1	787	12
ESPN	720	28
ESPNL	398	18
ESR2	967	100
ESRP1	360	12
ESRP2	347	8
ESRRA	941	54
ESRRB	432	28
ESRRG	460	32
ESX1	264	26
ESYT1	345	8
ESYT2	364	6
ESYT3	194	4
ETAA1	264	2
ETF1	481	12
ETFA	710	24
ETFB	480	18
ETFDH	289	22
ETHE1	638	18
ETNK1	199	16
ETNK2	199	12
ETS1	764	80
ETS2	699	104
ETV1	491	42
ETV2	681	16
ETV3	386	24
ETV3L	181	2
ETV4	542	38
ETV5	429	24
ETV6	452	46
ETV7	227	2
EVA1A	914	14
EVA1C	192	6
EVC	468	12
EVC2	309	14
EVI2A	192	18
EVI2B	309	34
EVI5	353	6
EVI5L	391	4
EVL	466	16
EVPL	951	32
EVPLL	458	10
EVX1	317	20
EVX2	269	10
EWSR1	640	46
EXD1	376	6
EXD2	244	4
EXD3	234	4
EXO1	611	32
EXOC1	923	18
EXOC2	928	20
EXOC3	952	16
EXOC3L1	599	10
EXOC3L4	540	6
EXOC4	950	22
EXOC5	924	12
EXOC6	932	12
EXOC6B	691	14
EXOC7	952	22
EXOC8	928	14
EXOG	356	4
EXOSC1	531	6
EXOSC10	355	22
EXOSC2	203	8
EXOSC3	215	8
EXOSC4	642	36
EXOSC5	535	8
EXOSC6	155	2
EXOSC7	235	12
EXOSC9	638	4
EXT1	711	20
EXT2	660	16
EXTL1	232	6
EXTL2	562	4
EXTL3	572	12
EYA1	442	36
EYA2	546	12
EYA3	311	20
EYA4	403	20
EYS	449	32
EZH1	315	30
EZH2	951	98
EZR	974	70
F10	531	68
F11	423	56
F11R	490	36
F12	551	28
F13A1	944	64
F13B	513	28
F2	952	114
F2R	915	46
F2RL1	901	30
F2RL2	900	10
F2RL3	900	12
F3	815	88
F5	931	42
F7	473	54
F8	938	56
F8A1	228	8
F9	917	48
FA2H	489	56
FAAH	482	46
FAAH2	196	10
FABP1	945	64
FABP12	393	2
FABP2	492	48
FABP3	591	64
FABP4	991	94
FABP5	912	54
FABP6	312	22
FABP7	938	44
FABP9	341	4
FADD	999	74
FADS1	511	42
FADS2	474	46
FADS3	244	16
FAF1	962	14
FAF2	900	20
FAH	455	20
FAHD1	264	10
FAHD2A	261	4
FAHD2B	261	6
FAIM	280	10
FAIM2	966	40
FAIM3	243	8
FAM107A	194	10
FAM109A	262	12
FAM109B	414	8
FAM114A2	446	2
FAM118B	191	2
FAM120B	959	16
FAM124A	286	2
FAM126A	354	4
FAM129A	212	4
FAM129B	194	2
FAM132A	353	10
FAM132B	538	8
FAM134B	447	2
FAM134C	198	4
FAM135B	245	10
FAM13A	566	20
FAM13B	167	2
FAM150A	328	2
FAM150B	371	4
FAM151A	242	2
FAM151B	364	6
FAM155A	159	2
FAM155B	286	8
FAM161A	208	2
FAM162A	208	4
FAM168A	174	2
FAM170A	200	2
FAM170B	221	4
FAM175A	928	6
FAM179B	314	8
FAM184A	349	2
FAM188A	266	4
FAM188B	150	2
FAM189A2	578	6
FAM195B	270	2
FAM19A3	171	2
FAM19A4	198	4
FAM200B	158	2
FAM208A	219	2
FAM209A	386	4
FAM20A	902	24
FAM20B	189	10
FAM20C	935	36
FAM210B	167	2
FAM212A	228	2
FAM212B	309	2
FAM213A	516	18
FAM21C	647	8
FAM26D	273	2
FAM26E	296	4
FAM26F	237	12
FAM3A	452	4
FAM3B	271	8
FAM3C	261	8
FAM3D	210	4
FAM46A	292	8
FAM47E	562	6
FAM49B	902	14
FAM50A	198	2
FAM57A	535	8
FAM57B	421	8
FAM58A	269	6
FAM60A	506	6
FAM63A	311	18
FAM63B	420	8
FAM64A	589	10
FAM65B	241	4
FAM83B	416	6
FAM83D	317	4
FAM83G	480	6
FAM83H	675	2
FAM86B1	151	2
FAM92B	222	14
FAM96A	260	4
FAM96B	260	8
FAM98A	183	2
FAM98B	403	2
FAM9B	199	2
FAN1	582	8
FANCA	392	16
FANCB	185	4
FANCC	241	16
FANCD2	547	20
FANCE	229	6
FANCF	268	8
FANCG	840	16
FANCI	363	8
FANCL	240	6
FANCM	586	12
FANK1	266	18
FAP	501	44
FAR1	401	12
FAR2	371	12
FARP1	344	8
FARP2	371	10
FARS2	276	8
FARSA	596	12
FARSB	211	14
FASLG	998	112
FASN	697	94
FASTK	347	10
FASTKD1	467	2
FASTKD2	296	4
FASTKD3	196	4
FASTKD5	567	2
FAT1	943	44
FAT2	366	14
FAT3	346	20
FAT4	261	24
FATE1	403	6
FAU	494	42
FBF1	395	2
FBL	581	46
FBLIM1	996	8
FBLL1	427	12
FBLN1	480	40
FBLN2	421	28
FBLN5	547	44
FBLN7	183	8
FBN1	930	78
FBN2	342	44
FBN3	403	28
FBP1	737	42
FBP2	598	30
FBXL12	279	8
FBXL13	279	12
FBXL14	279	4
FBXL15	279	6
FBXL16	279	14
FBXL18	272	10
FBXL19	815	28
FBXL2	679	14
FBXL20	453	20
FBXL22	279	4
FBXL3	279	12
FBXL4	583	10
FBXL5	575	4
FBXL6	279	4
FBXL7	279	10
FBXO10	282	4
FBXO11	352	16
FBXO15	190	10
FBXO17	232	4
FBXO18	497	18
FBXO2	793	18
FBXO22	217	8
FBXO24	291	8
FBXO25	241	4
FBXO27	187	4
FBXO3	225	2
FBXO30	203	2
FBXO31	243	2
FBXO32	684	52
FBXO33	259	6
FBXO38	161	2
FBXO39	279	4
FBXO40	276	10
FBXO41	262	2
FBXO43	185	2
FBXO44	227	6
FBXO45	257	10
FBXO5	368	12
FBXO6	241	10
FBXO7	706	36
FBXO8	402	8
FBXO9	299	4
FBXW10	238	6
FBXW11	918	20
FBXW12	183	2
FBXW2	363	12
FBXW4	347	10
FBXW5	359	10
FBXW7	747	54
FBXW8	382	18
FBXW9	238	4
FCAMR	359	4
FCAR	925	28
FCER1A	975	40
FCER1G	944	62
FCER2	919	44
FCF1	349	12
FCGR1A	922	68
FCGR1B	911	46
FCGR2A	680	94
FCGR2B	974	90
FCGR3A	573	58
FCGR3B	452	40
FCGRT	376	54
FCHO1	934	14
FCHO2	966	12
FCHSD1	296	6
FCHSD2	332	8
FCN1	422	36
FCN2	623	28
FCN3	462	20
FCRL2	258	4
FCRL3	511	10
FCRL4	478	10
FCRLA	377	8
FCRLB	171	2
FDFT1	768	46
FDPS	650	66
FDX1	478	36
FDX1L	478	18
FDXACB1	216	8
FDXR	482	26
FECH	969	34
FEM1A	402	28
FEM1B	579	30
FEM1C	425	30
FEN1	494	36
FER	902	32
FERD3L	509	6
FERMT1	834	8
FERMT3	905	42
FES	939	68
FETUB	509	18
FEV	311	14
FEZ1	563	12
FEZ2	317	2
FEZF1	257	8
FEZF2	426	26
FFAR1	900	22
FFAR2	900	26
FFAR3	900	26
FFAR4	900	22
FGA	950	58
FGB	947	50
FGD1	324	8
FGD2	304	12
FGD3	251	8
FGD4	291	4
FGD5	189	4
FGD6	231	4
FGF1	793	92
FGF10	671	70
FGF11	641	40
FGF12	662	42
FGF13	881	126
FGF14	600	34
FGF17	663	36
FGF18	677	38
FGF19	717	68
FGF2	971	154
FGF20	639	48
FGF21	746	76
FGF22	679	32
FGF23	963	54
FGF3	709	50
FGF4	698	64
FGF5	673	50
FGF6	695	40
FGF7	766	74
FGF8	685	68
FGF9	706	40
FGFBP1	286	14
FGFBP3	309	4
FGFR1	882	92
FGFR1OP	361	6
FGFR1OP2	370	8
FGFR2	843	88
FGFR3	946	78
FGFR4	803	48
FGFRL1	392	10
FGG	953	52
FGGY	466	38
FGL2	801	40
FGR	930	82
FH	828	40
FHIT	672	32
FHL1	468	20
FHL2	754	64
FHL3	215	4
FHL5	296	14
FHOD1	589	6
FHOD3	269	6
FIBIN	214	2
FIBP	256	6
FICD	295	16
FIG4	369	40
FIGF	945	40
FIGLA	339	12
FIGN	505	10
FIGNL1	211	10
FIP1L1	293	10
FIS1	783	42
FITM1	214	4
FITM2	530	14
FJX1	352	4
FKBP10	535	30
FKBP11	200	16
FKBP14	234	18
FKBP15	431	36
FKBP1A	513	50
FKBP1B	287	26
FKBP2	277	30
FKBP3	269	22
FKBP4	957	64
FKBP5	955	80
FKBP6	696	28
FKBP7	348	38
FKBP8	935	50
FKBP9	340	22
FKBPL	421	14
FKRP	228	6
FKTN	311	14
FLAD1	468	18
FLCN	282	14
FLG	922	30
FLG2	906	8
FLI1	515	24
FLII	668	26
FLNA	648	72
FLNB	626	34
FLNC	392	44
FLOT1	774	46
FLOT2	665	34
FLRT1	379	4
FLRT2	213	8
FLRT3	257	2
FLT1	999	106
FLT3	931	88
FLT3LG	900	42
FLT4	992	70
FLVCR1	477	8
FLVCR2	373	8
FLYWCH2	282	2
FMN1	380	52
FMN2	299	32
FMNL1	257	28
FMNL2	255	2
FMO1	391	10
FMO2	305	16
FMO3	361	22
FMO4	280	8
FMO5	339	14
FMOD	523	38
FMR1	823	92
FN1	988	178
FN3K	371	10
FN3KRP	166	2
FNBP1	952	32
FNBP1L	948	20
FNDC3A	290	36
FNDC4	233	4
FNDC5	776	34
FNIP1	213	2
FNIP2	345	8
FNTA	900	10
FNTB	225	4
FOCAD	268	6
FOLH1	540	50
FOLR1	583	16
FOLR2	473	28
FOLR3	901	12
FOLR4	237	6
FOPNL	262	6
FOS	982	168
FOSB	928	68
FOSL1	680	62
FOSL2	420	44
FOXA1	989	56
FOXA2	673	66
FOXA3	580	40
FOXB1	191	6
FOXB2	227	4
FOXC1	675	44
FOXC2	457	48
FOXD1	205	18
FOXD2	268	8
FOXD3	419	36
FOXD4	234	10
FOXD4L1	194	6
FOXD4L3	180	4
FOXD4L4	186	6
FOXD4L5	180	4
FOXD4L6	180	4
FOXE1	583	42
FOXE3	244	18
FOXF1	395	26
FOXF2	272	24
FOXG1	704	66
FOXH1	572	16
FOXI1	351	14
FOXI2	213	8
FOXJ1	290	20
FOXJ2	251	8
FOXJ3	375	8
FOXK1	328	16
FOXK2	426	20
FOXL1	398	16
FOXL2	918	40
FOXM1	823	92
FOXN1	297	26
FOXN2	180	4
FOXN3	332	22
FOXN4	203	8
FOXO1	954	104
FOXO3	994	144
FOXO4	525	50
FOXO6	399	28
FOXP1	707	60
FOXP2	841	64
FOXP3	958	114
FOXP4	464	18
FOXQ1	264	10
FOXR1	180	4
FOXR2	180	4
FOXRED1	332	4
FOXRED2	236	4
FOXS1	209	10
FPGS	971	28
FPR1	928	50
FPR2	926	72
FPR3	917	30
FRAS1	314	38
FRAT1	994	16
FRAT2	977	14
FREM1	419	6
FREM2	284	24
FREM3	205	8
FRG1	187	6
FRK	904	64
FRMD3	347	14
FRMD4B	308	8
FRMD5	229	10
FRMD6	321	22
FRMD7	552	2
FRMPD1	227	4
FRMPD2	451	18
FRMPD3	901	12
FRMPD4	409	18
FRRS1	189	2
FRRS1L	323	18
FRS2	944	28
FRS3	928	14
FRY	446	6
FRYL	251	8
FRZB	424	56
FSBP	163	4
FSCB	337	4
FSCN1	579	36
FSCN2	540	4
FSCN3	540	2
FSD1	393	4
FSD1L	194	2
FSHB	908	24
FSHR	908	40
FST	535	66
FSTL1	970	42
FSTL3	918	28
FSTL4	175	10
FTCD	961	14
FTH1	930	64
FTHL17	345	12
FTL	915	40
FTMT	556	24
FTO	714	70
FTSJ1	453	4
FTSJ2	167	2
FTSJ3	442	8
FUBP1	467	12
FUBP3	468	8
FUCA1	910	24
FUCA2	913	28
FUK	539	6
FUNDC1	168	6
FUNDC2	297	4
FURIN	972	102
FUS	720	88
FUT1	527	18
FUT10	265	4
FUT11	317	2
FUT2	711	30
FUT3	470	20
FUT4	861	46
FUT5	527	8
FUT6	469	8
FUT7	322	28
FUT8	550	16
FUT9	345	14
FUZ	179	4
FXN	948	46
FXR1	474	36
FXR2	257	18
FXYD1	720	30
FXYD2	900	8
FXYD3	371	2
FXYD4	176	4
FXYD5	299	12
FXYD6	305	6
FXYD7	222	6
FYB	918	50
FYCO1	272	8
FYN	971	136
FYTTD1	185	2
FZD1	968	48
FZD10	364	18
FZD2	939	32
FZD3	312	26
FZD4	971	38
FZD5	931	34
FZD6	365	20
FZD7	394	34
FZD8	348	28
FZD9	376	26
FZR1	900	20
G0S2	297	26
G2E3	228	20
G3BP1	408	18
G3BP2	204	6
G6PC	897	68
G6PC2	668	18
G6PC3	455	10
G6PD	962	88
GAA	906	42
GAB1	937	36
GAB3	220	4
GABARAP	960	30
GABARAPL1	486	46
GABARAPL2	517	38
GABBR1	949	62
GABBR2	916	46
GABPA	971	26
GABPB1	866	34
GABPB2	396	22
GABRA1	932	46
GABRA2	939	32
GABRA3	931	32
GABRA4	908	32
GABRA5	904	30
GABRA6	951	30
GABRB1	607	38
GABRB2	879	60
GABRB3	633	62
GABRD	607	26
GABRE	607	8
GABRG1	607	36
GABRG2	626	38
GABRG3	607	16
GABRP	607	10
GABRQ	607	10
GABRR1	684	10
GABRR2	211	2
GAD1	900	84
GAD2	689	102
GADD45A	540	82
GADD45B	662	52
GADD45G	266	26
GADD45GIP1	370	12
GADL1	272	18
GAK	963	74
GAL	988	50
GAL3ST1	305	4
GAL3ST2	161	2
GAL3ST3	157	2
GALC	406	32
GALE	501	26
GALK1	641	40
GALK2	384	12
GALM	471	14
GALNS	906	16
GALNT1	353	10
GALNT10	360	8
GALNT11	198	8
GALNT12	204	8
GALNT13	317	16
GALNT14	332	6
GALNT16	498	10
GALNT2	514	30
GALNT3	353	10
GALNT4	265	2
GALNT5	186	4
GALNT6	419	6
GALNT7	390	12
GALNT8	153	2
GALNT9	187	6
GALNTL5	185	6
GALNTL6	452	4
GALP	600	34
GALR1	954	30
GALR2	972	16
GALR3	951	12
GALT	429	14
GAMT	544	32
GAN	160	2
GANAB	548	22
GANC	338	20
GAP43	701	96
GAPT	498	24
GAPVD1	906	40
GAR1	304	8
GAREM	271	6
GARNL3	195	2
GARS	378	16
GART	996	52
GAS1	453	32
GAS2	918	16
GAS2L1	478	20
GAS2L3	336	16
GAS6	939	62
GAS7	482	44
GAS8	401	6
GAST	915	60
GATA1	680	98
GATA2	791	98
GATA3	988	106
GATA4	993	80
GATA5	470	32
GATA6	757	58
GATAD1	371	6
GATAD2A	901	6
GATAD2B	901	4
GATM	924	28
GBA	668	84
GBA2	518	44
GBAS	653	8
GBE1	717	26
GBF1	219	18
GBP1	912	34
GBP2	918	34
GBP3	904	14
GBP5	910	20
GBP6	904	10
GBX1	304	8
GBX2	304	30
GC	659	62
GCA	917	14
GCAT	332	14
GCC2	945	8
GCDH	270	14
GCFC2	475	12
GCG	959	120
GCGR	960	30
GCH1	666	36
GCHFR	183	6
GCK	739	80
GCKR	394	40
GCLC	888	54
GCLM	805	42
GCM1	352	16
GCM2	298	8
GCN1L1	298	8
GCNT1	749	12
GCNT2	727	14
GCNT3	623	6
GCNT4	767	8
GCNT7	587	8
GCSAM	530	10
GCSAML	243	2
GCSH	680	18
GDA	577	14
GDAP1	360	2
GDAP1L1	569	8
GDAP2	320	2
GDE1	174	6
GDF1	212	18
GDF10	270	16
GDF11	411	24
GDF15	719	70
GDF2	682	42
GDF3	352	22
GDF5	525	32
GDF6	327	28
GDF7	366	18
GDF9	619	30
GDI1	900	22
GDI2	902	28
GDNF	958	106
GDPD1	221	4
GDPD2	445	6
GDPD3	211	2
GDPD4	455	6
GDPD5	168	8
GDPGP1	426	2
GEM	263	16
GEMIN2	334	10
GEMIN4	212	8
GEMIN5	222	6
GEMIN6	221	10
GEMIN7	228	8
GEN1	380	22
GET4	548	26
GFAP	950	148
GFER	700	30
GFI1	400	44
GFI1B	460	22
GFM1	552	24
GFM2	420	4
GFOD1	261	14
GFOD2	183	6
GFPT1	595	56
GFPT2	537	42
GFRA1	900	18
GFRA2	902	12
GFRA3	900	8
GFRA4	900	4
GFRAL	156	2
GGA1	985	36
GGA2	964	28
GGA3	985	48
GGACT	295	8
GGCT	499	12
GGCX	441	8
GGH	929	18
GGN	499	18
GGNBP2	210	4
GGPS1	406	24
GGT1	819	116
GGT2	819	116
GGT5	442	8
GGT6	266	4
GGT7	232	8
GGTLC1	240	4
GGTLC2	183	4
GGTLC3	819	116
GH1	885	38
GH2	810	26
GHDC	903	22
GHITM	237	14
GHR	849	54
GHRH	978	58
GHRHR	954	30
GHRL	961	68
GHSR	920	44
GID4	271	2
GIF	437	16
GIGYF1	548	18
GIGYF2	407	34
GIMAP7	304	16
GIN1	537	8
GINS1	646	6
GINS2	745	10
GINS3	155	2
GINS4	757	4
GIP	930	60
GIPC1	920	32
GIPC2	179	4
GIPR	947	30
GIT1	530	38
GIT2	397	6
GJA1	755	108
GJA10	170	4
GJA3	256	10
GJA4	722	22
GJA5	660	44
GJA8	520	26
GJA9	343	4
GJB1	422	36
GJB2	400	38
GJB3	303	10
GJB4	159	2
GJB5	167	2
GJB6	279	30
GJB7	727	2
GJC1	331	12
GJC2	628	8
GJC3	237	8
GJD2	307	12
GJD3	250	8
GJD4	215	6
GK	577	50
GK2	274	22
GK5	274	22
GKAP1	339	4
GKN1	283	6
GKN2	420	14
GLA	926	34
GLB1	918	32
GLB1L	199	4
GLB1L2	182	4
GLB1L3	156	2
GLCE	789	14
GLDC	744	20
GLDN	490	6
GLE1	237	10
GLG1	223	8
GLI1	827	66
GLI2	948	48
GLI3	941	68
GLI4	282	6
GLIPR1	900	12
GLIPR1L1	180	2
GLIPR2	247	8
GLIS1	318	6
GLIS2	334	16
GLMN	536	6
GLO1	819	70
GLP1R	957	62
GLP2R	940	12
GLRA1	462	34
GLRA2	471	34
GLRA3	463	34
GLRA4	478	28
GLRB	478	44
GLRX	730	40
GLRX2	686	22
GLRX3	673	12
GLRX5	723	16
GLS	499	42
GLS2	399	54
GLT8D1	210	2
GLT8D2	323	6
GLTP	245	4
GLTSCR2	319	22
GLUD1	942	34
GLUD2	932	26
GLUL	708	90
GLYAT	420	6
GLYATL1	445	6
GLYCTK	848	8
GLYR1	218	16
GM2A	909	12
GMCL1	214	2
GMDS	307	22
GMEB2	173	2
GMFB	212	6
GMFG	229	22
GMIP	266	12
GML	345	4
GMNC	432	22
GMNN	432	14
GMPPA	169	2
GMPPB	317	12
GMPR	314	18
GMPR2	217	14
GMPS	606	44
GNA11	924	64
GNA12	814	18
GNA13	904	18
GNA14	904	12
GNA15	919	62
GNAI1	938	32
GNAI2	932	24
GNAI3	929	20
GNAL	904	34
GNAO1	918	52
GNAQ	922	52
GNAS	926	74
GNAT1	216	8
GNAT2	367	10
GNAT3	938	20
GNAZ	903	22
GNB1	943	40
GNB1L	297	12
GNB2	915	28
GNB2L1	975	66
GNB3	917	52
GNB4	915	24
GNB5	915	20
GNE	488	24
GNG10	913	12
GNG11	913	14
GNG12	912	20
GNG13	912	16
GNG2	915	26
GNG3	913	26
GNG4	919	20
GNG5	913	18
GNG7	913	22
GNG8	912	16
GNGT1	912	22
GNGT2	918	18
GNL1	482	14
GNL2	274	4
GNL3	305	10
GNL3L	267	6
GNLY	498	26
GNMT	725	24
GNPAT	903	12
GNPDA1	331	14
GNPDA2	577	22
GNPNAT1	229	10
GNPTAB	900	14
GNPTG	713	10
GNRH1	916	74
GNRH2	900	14
GNRHR	910	42
GNS	941	22
GOLGA2	674	38
GOLGA3	498	8
GOLGA4	456	32
GOLGA5	945	8
GOLGA7	900	6
GOLGA7B	158	2
GOLGB1	559	24
GOLIM4	940	10
GOLM1	921	34
GOLPH3	524	58
GOLPH3L	378	8
GOLT1A	424	12
GOLT1B	424	10
GON4L	236	2
GOPC	379	20
GORAB	542	2
GORASP1	542	12
GORASP2	512	10
GOSR1	958	2
GOSR2	382	8
GOT1	832	42
GOT1L1	241	14
GOT2	859	92
GP1BA	427	32
GP1BB	379	4
GP2	413	24
GP5	282	10
GP6	455	28
GP9	304	14
GPAA1	280	6
GPAM	903	30
GPAT2	277	8
GPATCH1	309	4
GPATCH2	222	2
GPATCH8	185	8
GPBAR1	900	32
GPBP1	331	4
GPC1	961	48
GPC2	945	16
GPC3	971	62
GPC4	947	32
GPC5	939	38
GPC6	944	24
GPCPD1	904	14
GPD1	684	38
GPD1L	742	20
GPD2	446	44
GPHA2	903	8
GPHN	655	42
GPI	986	50
GPIHBP1	993	34
GPKOW	173	2
GPLD1	270	18
GPM6A	325	22
GPM6B	416	18
GPN2	416	20
GPN3	188	2
GPNMB	415	42
GPR1	345	6
GPR101	223	2
GPR111	192	2
GPR112	315	4
GPR113	557	2
GPR115	168	2
GPR119	263	8
GPR12	201	4
GPR123	194	6
GPR124	258	4
GPR125	187	6
GPR126	396	20
GPR132	905	34
GPR133	405	6
GPR139	258	2
GPR141	507	10
GPR143	902	14
GPR144	295	2
GPR146	212	2
GPR148	539	4
GPR149	235	18
GPR15	900	20
GPR150	921	4
GPR151	301	8
GPR152	793	2
GPR153	165	4
GPR156	475	8
GPR157	173	2
GPR158	256	12
GPR160	213	6
GPR161	248	10
GPR162	169	2
GPR17	914	14
GPR171	276	4
GPR173	252	4
GPR174	427	10
GPR176	900	6
GPR179	186	4
GPR18	907	16
GPR180	349	22
GPR182	201	8
GPR183	915	38
GPR20	900	2
GPR22	341	4
GPR25	900	4
GPR26	181	4
GPR27	907	2
GPR3	723	22
GPR31	901	8
GPR32	900	8
GPR34	540	14
GPR35	182	6
GPR37	939	24
GPR37L1	909	14
GPR39	931	30
GPR4	900	14
GPR42	173	4
GPR45	900	6
GPR50	308	8
GPR52	218	6
GPR55	909	20
GPR56	421	20
GPR6	383	18
GPR61	150	2
GPR62	354	8
GPR63	340	4
GPR65	900	24
GPR68	900	12
GPR78	320	2
GPR83	918	16
GPR84	910	32
GPR85	183	2
GPR87	171	2
GPR88	319	6
GPR97	903	12
GPR98	255	10
GPRC5A	161	2
GPRC5B	370	14
GPRC5D	210	2
GPRC6A	900	12
GPRIN1	482	16
GPS1	602	18
GPS2	926	24
GPSM1	904	26
GPSM2	905	18
GPSM3	919	22
GPT	736	124
GPT2	491	34
GPX1	988	92
GPX2	973	50
GPX3	974	74
GPX4	940	68
GPX5	967	48
GPX6	961	56
GPX7	977	66
GPX8	971	60
GRAMD4	384	6
GRAP	887	42
GRAP2	908	62
GRASP	356	26
GRB10	984	26
GRB14	992	22
GRB2	999	110
GRB7	591	40
GREM1	625	38
GREM2	266	10
GRHL1	614	12
GRHL2	443	16
GRHL3	291	12
GRHPR	810	40
GRIA1	838	100
GRIA2	631	84
GRIA3	587	50
GRIA4	553	38
GRID1	411	24
GRID2	554	28
GRID2IP	426	28
GRIK1	361	28
GRIK2	410	64
GRIK3	413	24
GRIK4	390	24
GRIK5	404	38
GRIN1	696	96
GRIN2A	954	106
GRIN2B	982	132
GRIN2C	594	40
GRIN2D	564	40
GRIN3A	610	48
GRIN3B	574	24
GRINA	254	16
GRIP1	948	56
GRIPAP1	579	4
GRK1	672	8
GRK4	665	10
GRK5	909	34
GRK6	688	16
GRK7	664	8
GRM1	923	64
GRM2	933	34
GRM3	919	44
GRM4	922	38
GRM5	946	68
GRM6	915	24
GRM7	923	38
GRM8	956	50
GRP	906	42
GRPEL1	955	16
GRPEL2	947	14
GRPR	902	18
GRSF1	487	2
GRTP1	255	2
GRWD1	275	10
GRXCR1	245	2
GSC	184	8
GSC2	220	6
GSDMA	279	12
GSDMB	537	18
GSDMC	195	6
GSDMD	902	20
GSG2	234	6
GSK3A	907	108
GSKIP	791	4
GSN	965	78
